name,xcoord,ycoord,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
NRockies,45.510523,-114.071747,0,0,0,0,0,8,6,6,13,15,10,14,12,33,29,41,55,48,101,152,213,275,337,437,563,663,761,846,1020,1300,1513,1655,1714,1686,1749,1624,1592,1592
GLakes,46.279179,-89.639937,1100,1235,1299,1334,1379,1410,1447,1484,1524,1565,1614,1659,1770.759259,1885.518519,1996.277778,2102.037037,2247.796296,2398.555556,2552.314815,2700.074074,2762,2914.833333,3100.666667,3238.5,3433.333333,3580.166667,3753,3835.25,3871.5,4000.75,3990,3993,3884,3964,3840.5,3678,3678,3678
PacNW,48.463481,-118.270018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,40,64,99,116,145
Southwest,33.529527,-109.041503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,22,26,41,55,46,42,59,52,52,42,50,67,80,83,109
