region,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
nRockies,0,0,0,0,0,8,6,6,13,15,10,14,12,33,29,41,55,48,101,152,213,275,337,437,563,663,761,846,1020,1300,1513,1655,1714,1686,1749,1624,1592,1592
gLakes,1100,1235,1299,1334,1379,1410,1447,1484,1524,1565,1614,1659,1770.759259,1885.518519,1996.277778,2102.037037,2247.796296,2398.555556,2552.314815,2700.074074,2762,2914.833333,3100.666667,3238.5,3433.333333,3580.166667,3753,3835.25,3871.5,4000.75,3990,3993,3884,3964,3840.5,3678,3678,3678
pacNW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,40,64,99,116,145
southwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,22,26,41,55,46,42,59,52,52,42,50,67,80,83,109
